56,0.0,96,4.0,44.0,-4.0,40.0,52.0,12.0,4
101,0.0,102,0.0,72.0,6.0,1.0,29.0,28.0,5
40,5.0,93,-3.0,38.0,0.0,54.0,55.0,2.0,1
37,0.0,77,0.0,28.0,-26.0,40.0,48.0,8.0,1
37,0.0,78,-2.0,-6.0,0.0,41.0,86.0,44.0,1
38,3.0,92,0.0,26.0,1.0,54.0,66.0,12.0,1
53,4.0,80,0.0,52.0,0.0,27.0,28.0,2.0,1
46,0.0,81,-4.0,46.0,0.0,35.0,34.0,0.0,1
54,-16.0,77,0.0,-2.0,0.0,23.0,79.0,56.0,4
49,2.0,83,6.0,50.0,1.0,33.0,33.0,0.0,1
37,0.0,86,0.0,38.0,23.0,48.0,47.0,0.0,1
53,3.0,81,0.0,52.0,-15.0,28.0,29.0,2.0,1
56,3.0,98,1.0,46.0,0.0,42.0,51.0,10.0,4
44,-2.0,78,0.0,44.0,0.0,34.0,34.0,0.0,1
37,-1.0,83,-4.0,34.0,0.0,46.0,49.0,4.0,1
49,1.0,86,0.0,46.0,-5.0,38.0,40.0,2.0,1
78,-5.0,83,0.0,-40.0,4.0,4.0,124.0,120.0,5
41,0.0,86,0.0,38.0,0.0,45.0,47.0,2.0,1
79,0.0,83,0.0,-32.0,-24.0,4.0,117.0,112.0,5
47,0.0,77,-4.0,46.0,0.0,30.0,30.0,0.0,1
55,0.0,97,3.0,52.0,0.0,41.0,45.0,4.0,4
46,1.0,102,0.0,44.0,-25.0,57.0,58.0,2.0,1
42,0.0,93,0.0,42.0,0.0,52.0,52.0,0.0,1
37,0.0,110,-3.0,28.0,0.0,73.0,82.0,8.0,1
43,-1.0,82,0.0,42.0,-11.0,39.0,41.0,2.0,1
44,0.0,89,0.0,42.0,-22.0,45.0,48.0,2.0,1
55,0.0,76,0.0,-22.0,-19.0,21.0,99.0,78.0,4
55,-3.0,98,0.0,46.0,5.0,42.0,51.0,8.0,4
50,0.0,77,0.0,50.0,-2.0,27.0,28.0,2.0,1
55,0.0,95,0.0,46.0,18.0,40.0,49.0,8.0,4
49,0.0,85,0.0,50.0,15.0,36.0,36.0,0.0,1
55,0.0,95,0.0,38.0,31.0,39.0,56.0,16.0,4
55,0.0,96,0.0,50.0,-17.0,41.0,47.0,6.0,4
37,0.0,79,0.0,24.0,-23.0,43.0,56.0,14.0,1
42,-1.0,90,0.0,42.0,0.0,47.0,48.0,2.0,1
37,0.0,96,-2.0,36.0,0.0,59.0,60.0,2.0,1
43,0.0,83,4.0,42.0,0.0,40.0,41.0,2.0,1
52,3.0,81,-1.0,52.0,0.0,29.0,30.0,0.0,1
63,3.0,111,8.0,62.0,0.0,48.0,49.0,2.0,1
39,0.0,83,-1.0,38.0,0.0,43.0,44.0,0.0,1
104,3.0,105,0.0,72.0,4.0,1.0,33.0,32.0,5
55,0.0,93,-1.0,12.0,0.0,37.0,80.0,42.0,4
42,3.0,78,0.0,42.0,0.0,36.0,37.0,2.0,1
64,-63.0,88,0.0,8.0,0.0,24.0,81.0,56.0,3
37,0.0,79,0.0,12.0,25.0,42.0,66.0,24.0,1
41,0.0,79,-1.0,42.0,15.0,38.0,37.0,0.0,1
56,0.0,77,0.0,-12.0,-3.0,21.0,90.0,68.0,4
44,0.0,83,6.0,44.0,2.0,40.0,39.0,0.0,1
56,0.0,77,0.0,-4.0,-6.0,21.0,82.0,62.0,4
46,1.0,107,-7.0,46.0,4.0,61.0,60.0,0.0,1
43,3.0,86,0.0,42.0,0.0,44.0,45.0,2.0,1
52,-4.0,87,0.0,52.0,0.0,35.0,35.0,0.0,1
55,2.0,87,0.0,54.0,0.0,32.0,33.0,0.0,1
50,-1.0,77,-3.0,50.0,-4.0,27.0,28.0,0.0,1
45,5.0,87,-1.0,44.0,0.0,42.0,43.0,2.0,1
37,0.0,77,0.0,20.0,-6.0,40.0,56.0,16.0,1
51,0.0,79,4.0,52.0,1.0,27.0,27.0,0.0,1
37,0.0,77,0.0,-14.0,-9.0,40.0,92.0,52.0,1
55,-3.0,80,-7.0,-4.0,21.0,25.0,85.0,60.0,4
37,0.0,106,-5.0,28.0,-2.0,69.0,77.0,8.0,1
37,0.0,76,-2.0,20.0,-4.0,40.0,55.0,16.0,1
103,4.0,104,8.0,70.0,0.0,1.0,35.0,34.0,5
37,0.0,96,4.0,24.0,-8.0,59.0,73.0,14.0,1
45,-1.0,86,-4.0,46.0,22.0,40.0,39.0,0.0,1
47,-1.0,108,0.0,46.0,0.0,60.0,61.0,0.0,1
43,0.0,87,1.0,42.0,-7.0,44.0,46.0,2.0,1
42,1.0,86,6.0,42.0,0.0,44.0,45.0,2.0,1
55,0.0,97,0.0,38.0,0.0,41.0,58.0,16.0,4
55,0.0,77,0.0,18.0,11.0,22.0,59.0,38.0,4
37,0.0,76,5.0,28.0,10.0,40.0,48.0,8.0,1
47,1.0,87,-7.0,46.0,0.0,40.0,41.0,0.0,1
56,0.0,97,0.0,38.0,29.0,41.0,58.0,18.0,4
43,0.0,102,0.0,44.0,11.0,59.0,58.0,0.0,1
55,0.0,79,0.0,20.0,-17.0,23.0,58.0,34.0,4
55,0.0,78,0.0,8.0,-27.0,23.0,70.0,48.0,4
76,-1.0,81,0.0,-40.0,0.0,4.0,122.0,118.0,5
55,-5.0,78,0.0,44.0,0.0,23.0,34.0,12.0,4
56,0.0,80,0.0,24.0,25.0,24.0,57.0,32.0,4
39,-2.0,80,-3.0,38.0,0.0,41.0,41.0,0.0,1
56,0.0,81,0.0,-10.0,-23.0,25.0,91.0,66.0,4
36,-4.0,83,5.0,36.0,0.0,46.0,46.0,0.0,1
56,2.0,91,0.0,54.0,-18.0,35.0,37.0,2.0,1
37,0.0,79,8.0,24.0,0.0,42.0,56.0,14.0,1
50,2.0,106,-1.0,50.0,0.0,57.0,57.0,0.0,1
56,0.0,99,3.0,46.0,0.0,42.0,52.0,10.0,4
58,-3.0,84,0.0,56.0,0.0,26.0,27.0,2.0,1
55,0.0,97,0.0,50.0,21.0,41.0,48.0,6.0,4
55,0.0,97,1.0,38.0,0.0,41.0,58.0,16.0,4
56,0.0,93,0.0,46.0,0.0,37.0,46.0,10.0,4
37,0.0,83,0.0,2.0,13.0,46.0,80.0,34.0,1
44,0.0,86,4.0,44.0,13.0,43.0,42.0,0.0,1
45,-4.0,80,0.0,44.0,0.0,35.0,36.0,0.0,1
51,-2.0,77,0.0,50.0,-8.0,27.0,28.0,2.0,1
49,0.0,81,0.0,46.0,-15.0,32.0,34.0,2.0,1
102,0.0,103,3.0,70.0,-6.0,1.0,33.0,32.0,5
41,0.0,76,-5.0,38.0,0.0,35.0,37.0,2.0,1
38,0.0,92,2.0,16.0,15.0,54.0,77.0,22.0,1
55,0.0,96,0.0,46.0,-13.0,41.0,50.0,8.0,4
43,-2.0,79,0.0,42.0,-5.0,35.0,37.0,2.0,1
47,5.0,87,4.0,46.0,0.0,40.0,41.0,0.0,1
37,0.0,80,0.0,16.0,-29.0,43.0,65.0,22.0,1
105,-2.0,107,0.0,72.0,0.0,1.0,35.0,34.0,5
37,0.0,92,0.0,20.0,2.0,55.0,71.0,16.0,1
37,0.0,75,0.0,18.0,0.0,38.0,57.0,18.0,1
37,0.0,82,0.0,30.0,-5.0,45.0,51.0,6.0,1
56,0.0,100,3.0,50.0,0.0,44.0,51.0,6.0,4
37,0.0,95,-6.0,12.0,-30.0,58.0,82.0,24.0,1
37,0.0,75,0.0,30.0,2.0,38.0,44.0,6.0,1
64,-1.0,110,2.0,64.0,0.0,46.0,46.0,0.0,1
49,0.0,95,-2.0,50.0,2.0,46.0,46.0,0.0,1
52,3.0,80,0.0,52.0,0.0,28.0,28.0,0.0,1
37,0.0,80,0.0,36.0,30.0,43.0,44.0,2.0,1
